CD Rank,Colleges
#1,"MET Institute of Management - [MET IOM], Mumbai"
#2,"Institute of Management Technology - [IMT], Nagpur"
N/A,N/A
PGDM,N/A
PGDM Marketing,N/A
PG Diploma in Financial Management,N/A
#3,"International School of Business and Media - [ISB&M] Nande, Pune"
N/A,N/A
PGDM Marketing,N/A
PGDM Finance,N/A
PGDM Human Resource Management,N/A
PGDM Media & Communication,N/A
PG Diploma in Management Business Analytics,N/A
#4,"Balaji Institute of Modern Management - [BIMM], Pune"
N/A,N/A
MBA,N/A
MBA Marketing Management,N/A
MBA Project Management & Human Resource Development,N/A
#5,"Balaji Institute of International Business - [BIIB], Pune"
N/A,N/A
MBA Marketing,N/A
MBA Finance,N/A
MBA International Business,N/A
#6,"N. L. Dalmia Institute of Management Studies and Research - [NLDIMSR], Mumbai"
#7,"Amity University, Mumbai"
#8,"Symbiosis Institute of Operations Management - [SIOM], Nashik"
N/A,N/A
MBA Agri Operations Management,N/A
MBA Operations Management,N/A
#9,"Balaji Institute of Management and Human Resource Development - [BIMHRD], Pune"
N/A,N/A
MBA,N/A
MBA Human Resource,N/A
MBA Marketing,N/A
#10,"Aditya Institute of Management Studies and Research - [AIMSR], Mumbai"
#1,"Institute of Chemical Technology - [ICT], Mumbai"
Bachelor of Chemical Engineering,N/A
B.Tech Pharmaceuticals Chemistry and Technology,N/A
B.Tech Plastic and Polymer Engineering,N/A
B.Tech Food Engineering,N/A
B.Tech Oleo chemicals and Surfactants Technology,N/A
#2,"ITM Business School Kharghar - [ITM], Navi Mumbai"
MBA Operations & Supply Chain Management,N/A
#3,"Kohinoor Business School -  [KBS], Mumbai"
#4,"Universal Business School - [UBS], Karjat"
PG Diploma in Foreign Trade,N/A
PGDM-BM,N/A
PGDM Business Design,N/A
PGDM International Management,N/A
#5,"International Institute of Management Studies - [IIMS], Pune"
PGDM Retail & E-Commerce,N/A
#6,"Pune Institute of Business Management - [PIBM], Pune"
MBA Project Management,N/A
MBA Fintech,N/A
#7,"Bharati Vidyapeeth University, Institute of Management and Entrepreneurship Development - [IMED], Pune"
#8,"Oriental Institute of Management - [OIM], Navi Mumbai"
#9,"Fergusson College, Pune"
#10,"National Institute of Fashion Technology - [NIFT], Navi Mumbai"
