CD Rank,Colleges
#1,"IILM Graduate School of Management - [IILM GSM], Greater Noida"
N/A,N/A
MBA,N/A
MBA Entrepreneurship,N/A
MBA Finance,N/A
MBA Human Resource,N/A
MBA Marketing and Innovation,N/A
#2,"Institute of Technology and Science - [I.T.S], Ghaziabad"
#3,"Institute of Hotel Management, Catering & Nutrition - [IHM], Lucknow"
N/A,N/A
B.Sc Hospitality and Hotel Administration,N/A
#4,"GL Bajaj Institute of Management and Research - [GLBIMR], Greater Noida"
N/A,N/A
PGDM Marketing,N/A
PGDM Finance,N/A
PGDM Operation,N/A
PGDM,N/A
PGDIT,N/A
#5,"Sharda University, School of Business Studies - [SBS], Greater Noida"
#6,"I Business Institute - [IBI], Greater Noida"
N/A,N/A
PGDM,N/A
#7,"Lloyd Business School -[LBS], Greater Noida"
#8,"Ajay Kumar Garg Institute of Management - [AKGIM], Ghaziabad"
#9,"Dr Ram Manohar Lohiya National Law University - [RMLNLU], Lucknow"
#10,"Amity School of Communication - [ASCO], Noida"
#1,"IIMT College of Management, Greater Noida"
#2,"Amity School of Fashion Technology - [ASFT], Noida"
#3,"Faculty of Law, Banaras Hindu University, Varanasi"
#4,"Sanskriti University - [SU], Mathura"
#5,"I.T.S Dental College, Ghaziabad"
BDS,N/A
#6,"Dr. Ziauddin Ahmad Dental College, Aligarh"
BDS,N/A
BDS Dental Material,N/A
#7,"ITS Dental College - [ITSDC], Greater Noida"
BDS,N/A
#8,"Era's Lucknow Medical College and Hospital, Lucknow"
M.B.B.S.,N/A
#9,"MNNIT Allahabad - Motilal Nehru National Institute of Technology - [MNNIT], Allahabad"
B.Tech Computer Science Engineering,N/A
B.Tech Electronics & Communication Engineering,N/A
B.Tech Electrical Engineering,N/A
B.Tech Engineering and Computational Mechanics,N/A
B.Tech Mechanical Engineering,N/A
#10,"Vidya Institute of Fashion Technology - [VIFT], Meerut"
#1,"Amity University, Lucknow"
#2,"Institute of Medical Sciences - [IMS BHU], Varanasi"
BAMS,N/A
#3,"Axis Institute of Planning & Management - [AIPM], Kanpur"
#4,"IMS Design and Innovation Academy - [DIA], Noida"
#5,"Lloyd Law College, Greater Noida"
#6,"Shri Ram Murti Smarak Institute of Medical Science - [SRMS IMS], Bareilly"
#7,"KIET School of Management, Ghaziabad"
#8,"Jawahar Lal Nehru Medical College - [JNMC], Aligarh"
#9,"Chaudhary Charan Singh University - [CCS], Meerut"
